Sheet,Topics
Burberry,"'Flewed', 'Flewed', 'Flewed', 'Flewed', 'Flewed', 'Flewed', 'Flewed', 'Flewed', 'Flewed', 'Flewed', 'Flewed', 'Flewed', 'Flewed', 'Flewed', 'Flewed', 'Flewed', 'Flewed', 'Flewed', 'Flewed', 'Flewed', 'Flewed', 'Flewed', 'Flewed', 'Flewed', 'Flewed', 'Flewed', 'Flewed', 'Flewed', 'Flewed', 'Flewed', 'Flewed', 'Flewed', 'Flewed', 'Flewed', 'Flewed', 'Flewed', 'Flewed', 'Flewed', 'Flewed', 'Flewed', 'Flewed', 'Flewed', 'Flewed', 'Flewed', 'Flewed', 'Flewed', 'Flewed', 'Flewed', 'Flewed', 'Flewed', 'Flewed', 'Flewed', 'Flewed', 'Flewed', 'Flewed', 'Flewed', 'Flewed', 'Flewed', 'Flewed', 'Flewed', 'Flewed', 'Flewed', 'Flewed', 'Flewed', 'Flewed', 'Flewed', 'Flewed', 'Flewed', 'Flewed', 'Flewed', 'Flewed', 'Flewed', 'Flewed',"
Orly,"Commenting on the post, the author describes her own nail polish, and the commenters critique her for looking like a robot."
Spotify,"Commenters are comparing the post to a robot, a woman, or a girl"
Samsung&Seventeen,Commenters on the post are overwhelmingly positive.
Spotify2,"- She is a robot, but she is also a doll."
Samsung&Sev.2,#ad#ad#ad#ad#ad#ad#ad#ad#ad#ad#ad#ad#ad#ad#ad#ad#ad#ad#ad#ad#ad#ad#ad#ad#ad#ad#ad#ad#ad#ad#ad#ad#ad#ad#ad#ad#ad#ad#ad#ad#ad#ad#ad#ad#ad#ad#ad#ad#ad#ad#ad#ad#ad#ad#ad#ad#ad#ad#ad#ad#ad#ad#ad#ad#ad#ad#ad#ad#ad#ad#ad#ad#ad#ad#ad#ad#ad#ad#ad#ad#ad#ad#ad#ad#ad#ad#ad#ad#ad#ad#ad#ad#ad#ad#ad#ad#ad#ad#ad#ad#ad#ad#ad#ad#ad#ad#ad#ad#ad#ad#ad#ad#ad#ad#ad#ad#ad#ad#ad#ad#ad#ad#ad#ad#ad#ad#ad#ad#ad#ad#ad#ad#ad#ad#ad#ad#ad#ad#ad#ad#ad#ad#ad#ad#ad#ad#ad#ad#ad#ad#ad#ad#ad#ad#ad#ad#ad#ad#ad#ad#ad#ad#ad#ad#ad#ad#ad#ad#ad#a
Pot LA,"Commenting on the post, the author describes herself as a queer girl who has always felt 'intimidated' by pottery studios. She describes herself as 'creepy', 'beautiful', 'creepy', 'so pretty', 'war of the worlds', 'so creepy', 'so pretty', 'so creepy', 'so pretty', 'so creepy', 'so creepy'"
KitstoKick,"Commenters are supportive of the cause, expressing love for the model."
Burberry2,"Commentary: 'It's a robot', 'I should be a fortnite character', 'It's a robot', 'It's a robot', 'It's a robot', 'It's a robot', 'It's a robot', 'It's a robot', 'It's a robot', 'It's a robot', 'It's a robot'"
Elle Mexico,"Commenters' attitude towards the Instagram account's appearance, gender, and hairstyles"
Off White,"cfda, outfit, outfit, outfit, outfit, outfit, outfit, outfit, outfit, outfit, outfit, outfit, outfit, outfit, outfit, outfit, outfit, outfit, outfit, outfit, outfit, outfit, outfit, outfit, outfit, outfit, outfit, outfit, outfit, outfit, outfit, outfit, outfit, outfit, outfit, outfit, outfit, outfit, outfit, outfit, outfit, outfit, outfit, outfit, outfit, outfit, outfit, outfit, outfit, outfit, outfit, outfit, outfit, outfit, outfit, outfit, outfit, outfit, outfit, outfit, outfit, outfit, outfit, outfit, outfit, outfit, outfit, outfit, outfit, outfit, outfit, outfit, outfit, outfit, outfit, outfit, outfit, outfit, outfit, outfit, outfit, outfit, outfit, outfit, outfit, outfit, outfit, outfit, outfit, outfit, outfit, outfit, outfit, outfit, outfit, outfit, outfit, outfit, outfit, outfit, outfit, outfit, outfit, outfit, outfit, outfit, outfit, outfit, outfit, outfit, outfit, outfit, outfit, outfit, outfit, outfit, outfit, outfit, outfit, outfit, outfit, outfit, outfit, outfit, outfit, outfit, outfit, outfit, outfit, outfit, outfit, outfit, outfit, outfit, outfit, outfit, outfit, outfit, outfit, outfit, outfit, outfit, outfit, outfit, outfit, outfit, outfit, outfit, outfit, outfit, outfit, outfit, outfit, outfit, outfit, outfit, outfit, outfit, outfit, outfit, outfit, outfit, outfit, outfit, outfit, outfit, outfit, outfit, outfit, outfit, outfit, outfit, outfit, outfit, outfit, outfit, outfit, outfit, outfit, outfit, outfit, outfit, outfit, outfit, outfit, outfit, outfit, outfit, outfit, outfit, outfit, outfit, outfit, outfit, outfit, outfit, outfit, outfit, outfit, outfit, outfit, outfit, outfit, outfit, outfit, outfit, outfit, outfit, outfit, outfit, outfit, outfit, outfit, outfit, outfit, outfit, outfit, outfit, outfit, outfit, outfit, outfit, outfit, outfit, outfit, outfit, outfit, outfit, outfit, outfit, outfit, outfit, outfit, outfit, outfit, outfit, outfit, outfit, outfit, outfit, outfit, outfit, outfit, outfit, outfit, outfit, outfit, outfit, outfit, outfit, outfit, outfit, outfit, outfit"
Officiel Singapore,
CalvinKlein,"- a lesbian, a robot, a lesbian, a robot, a robot, a robot, a robot, a robot, a robot, a robot, a robot, a robot, a robot, a robot, a robot, a robot, a robot, a robot, a robot, a robot, a robot, a robot, a robot, a robot, a robot, a robot, a robot, a robot, a robot, a robot, a robot, a robot, a robot, a robot, a robot, a robot, a robot, a robot, a robot, a robot, a robot, a robot, a robot, a robot, a robot, a robot, a robot, a robot, a robot, a robot, a robot, a robot, a robot, a robot, a robot, a robot, a robot, a robot, a robot, a robot, a robot, a robot, a robot, a robot, a robot, a robot, a robot, a robot, a robot, a robot, a robot, a robot, a robot, a robot, a robot, a robot, a robot, a robot, a robot, a robot, a robot, a robot, a robot, a robot, a robot, a robot, a robot, a robot, a robot, a robot, a robot, a robot, a robot, a robot, a robot, a robot, a robot, a robot, a robot, a robot, a robot, a robot, a robot, a robot, a robot, a robot, a robot, a robot, a robot, a robot, a robot, a robot, a robot, a robot, a robot, a robot, a robot, a robot, a robot, a robot, a robot, a robot, a robot, a robot, a robot, a robot, a robot"
